datetime,device_name,frequency,humidity,latitude,longitude,network,pm2_5,pm2_5_calibrated_value,site_name,temperature
2026-01-26 14:00:00+00:00,airqo_g5341,hourly,69.36428571,0.333549857,32.56858314,airqo,14.87,14.87,Makerere University Weather Station 94,29.03428571
2026-01-26 15:00:00+00:00,airqo_g5341,hourly,69.99,0.333489857,32.56842457,airqo,20.45,20.45,Makerere University Weather Station 94,28.65
2026-01-26 15:00:00+00:00,aq_g501,hourly,0,0,0,airqo,14.03,14.03,Makerere University Weather Station 94,0
2026-01-26 15:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,17.28,17.28,Makerere University Weather Station 94,
2026-01-26 16:00:00+00:00,airqo_g5341,hourly,69.99,0.333267,32.568684,airqo,17.82,17.82,Makerere University Weather Station 94,28.65
2026-01-26 16:00:00+00:00,aq_g501,hourly,0,0,0,airqo,14.24,14.24,Makerere University Weather Station 94,0
2026-01-26 16:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,21.26,21.26,Makerere University Weather Station 94,
2026-01-26 17:00:00+00:00,aq_g501,hourly,0,0,0,airqo,18.2,18.2,Makerere University Weather Station 94,0
2026-01-26 17:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,33.18,33.18,Makerere University Weather Station 94,
2026-01-26 17:00:00+00:00,airqo_g5341,hourly,90.674,0.333532,32.568542,airqo,34.93,34.93,Makerere University Weather Station 94,24.76
2026-01-26 18:00:00+00:00,airqo_g5341,hourly,91.45428571,0.333532,32.568542,airqo,31.67,31.67,Makerere University Weather Station 94,24.80285714
2026-01-26 18:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,32.21,32.21,Makerere University Weather Station 94,
2026-01-26 18:00:00+00:00,aq_g501,hourly,0,0,0,airqo,17.49,17.49,Makerere University Weather Station 94,0
2026-01-26 19:00:00+00:00,airqo_g5341,hourly,92.19142857,0.333532571,32.56852029,airqo,21.42,21.42,Makerere University Weather Station 94,24.72428571
2026-01-26 19:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,29.33,29.33,Makerere University Weather Station 94,
2026-01-26 19:00:00+00:00,aq_g501,hourly,0,0,0,airqo,25.86,25.86,Makerere University Weather Station 94,0
2026-01-26 20:00:00+00:00,airqo_g5341,hourly,94.77428571,0.333533,32.56851929,airqo,27.03,27.03,Makerere University Weather Station 94,24.51714286
2026-01-26 20:00:00+00:00,aq_g501,hourly,0,0,0,airqo,20.44,20.44,Makerere University Weather Station 94,0
2026-01-26 20:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,32.77,32.77,Makerere University Weather Station 94,
2026-01-26 21:00:00+00:00,airqo_g5341,hourly,95.56,0.333533,32.568611,airqo,39.39,39.39,Makerere University Weather Station 94,24.42
2026-01-26 21:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,40.17,40.17,Makerere University Weather Station 94,
2026-01-26 21:00:00+00:00,aq_g501,hourly,0,0,0,airqo,19.28,19.28,Makerere University Weather Station 94,0
2026-01-26 22:00:00+00:00,airqo_g5341,hourly,95.56,0.333533,32.568611,airqo,39.3,39.3,Makerere University Weather Station 94,23.17714286
2026-01-26 22:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,67.86,67.86,Makerere University Weather Station 94,
2026-01-26 22:00:00+00:00,aq_g501,hourly,0,0,0,airqo,13.2,13.2,Makerere University Weather Station 94,0
2026-01-26 23:00:00+00:00,aq_g501,hourly,0,0,0,airqo,11.01,11.01,Makerere University Weather Station 94,0
2026-01-26 23:00:00+00:00,airqo_g5341,hourly,,0.333533,32.568611,airqo,40.79,40.79,Makerere University Weather Station 94,22.356
2026-01-26 23:00:00+00:00,airqo_g5339,hourly,,0,0,airqo,49.29,,Makerere University Weather Station 94,
2026-01-27 00:00:00+00:00,aq_g501,hourly,0,0,0,airqo,12.8,12.8,Makerere University Weather Station 94,0
2026-01-27 00:00:00+00:00,airqo_g5341,hourly,,0.333533,32.568611,airqo,38.11,38.11,Makerere University Weather Station 94,22.51571429
2026-01-27 01:00:00+00:00,airqo_g5341,hourly,,0.3316705,32.5641195,airqo,32.79,32.79,Makerere University Weather Station 94,23.11666667
2026-01-27 01:00:00+00:00,aq_g501,hourly,0,0,0,airqo,8.93,8.93,Makerere University Weather Station 94,0
2026-01-27 02:00:00+00:00,airqo_g5341,hourly,,0.329808,32.559628,airqo,28.68,28.68,Makerere University Weather Station 94,22.98571429
